,country.value,date,value,country,year,consumption
175,Canada,1996,1.898469572,Canada,1996,1.898469572
176,Canada,1995,1.191745718,Canada,1995,1.191745718
177,Canada,1994,1.770122549,Canada,1994,1.770122549
178,Canada,1993,0.744795652,Canada,1993,0.744795652
179,Canada,1992,0.347953965,Canada,1992,0.347953965
180,Canada,1991,-2.335288048,Canada,1991,-2.335288048
181,Canada,1990,-0.145793181,Canada,1990,-0.145793181
182,Canada,1989,1.5720415,Canada,1989,1.5720415
183,Canada,1988,2.782873875,Canada,1988,2.782873875
184,Canada,1987,2.515240738,Canada,1987,2.515240738
185,Canada,1986,2.399306194,Canada,1986,2.399306194
186,Canada,1985,3.946133276,Canada,1985,3.946133276
187,Canada,1984,2.862713925,Canada,1984,2.862713925
188,Canada,1983,1.488235458,Canada,1983,1.488235458
189,Canada,1982,-3.71705637,Canada,1982,-3.71705637
200,Australia,2021,0.977035853,Australia,2021,0.977035853
201,Australia,2020,-4.171226874,Australia,2020,-4.171226874
202,Australia,2019,0.104303852,Australia,2019,0.104303852
203,Australia,2018,1.173777787,Australia,2018,1.173777787
204,Australia,2017,0.69615091,Australia,2017,0.69615091
205,Australia,2016,0.948289416,Australia,2016,0.948289416
206,Australia,2015,1.086503214,Australia,2015,1.086503214
207,Australia,2014,0.719555073,Australia,2014,0.719555073
208,Australia,2013,0.125987343,Australia,2013,0.125987343
209,Australia,2012,1.066659317,Australia,2012,1.066659317
210,Australia,2011,2.585155892,Australia,2011,2.585155892
211,Australia,2010,1.873869591,Australia,2010,1.873869591
212,Australia,2009,-1.77631107,Australia,2009,-1.77631107
213,Australia,2008,2.689870196,Australia,2008,2.689870196
214,Australia,2007,3.385342283,Australia,2007,3.385342283
215,Australia,2006,1.906642818,Australia,2006,1.906642818
216,Australia,2005,3.270255718,Australia,2005,3.270255718
217,Australia,2004,4.189640724,Australia,2004,4.189640724
218,Australia,2003,3.118491355,Australia,2003,3.118491355
219,Australia,2002,1.81067285,Australia,2002,1.81067285
220,Australia,2001,2.031080871,Australia,2001,2.031080871
221,Australia,2000,3.019265627,Australia,2000,3.019265627
222,Australia,1999,4.40237699,Australia,1999,4.40237699
223,Australia,1998,3.972118406,Australia,1998,3.972118406
224,Australia,1997,1.749791586,Australia,1997,1.749791586
225,Australia,1996,2.124604786,Australia,1996,2.124604786
226,Australia,1995,3.249381101,Australia,1995,3.249381101
227,Australia,1994,1.17654301,Australia,1994,1.17654301
228,Australia,1993,1.001560385,Australia,1993,1.001560385
229,Australia,1992,1.229763806,Australia,1992,1.229763806
230,Australia,1991,-0.283956316,Australia,1991,-0.283956316
231,Australia,1990,2.796709449,Australia,1990,2.796709449
232,Australia,1989,2.901100917,Australia,1989,2.901100917
233,Australia,1988,1.524816631,Australia,1988,1.524816631
234,Australia,1987,0.484209601,Australia,1987,0.484209601
235,Australia,1986,3.444019243,Australia,1986,3.444019243
236,Australia,1985,-0.935179166,Australia,1985,-0.935179166
237,Australia,1984,-0.130795144,Australia,1984,-0.130795144
238,Australia,1983,1.013332992,Australia,1983,1.013332992
239,Australia,1982,3.753753055,Australia,1982,3.753753055
250,Malaysia,2021,0.723757788,Malaysia,2021,0.723757788
251,Malaysia,2020,-5.35442155,Malaysia,2020,-5.35442155
252,Malaysia,2019,6.358916963,Malaysia,2019,6.358916963
253,Malaysia,2018,6.568622023,Malaysia,2018,6.568622023
254,Malaysia,2017,5.405849164,Malaysia,2017,5.405849164
255,Malaysia,2016,4.314853745,Malaysia,2016,4.314853745
256,Malaysia,2015,4.439691212,Malaysia,2015,4.439691212
257,Malaysia,2014,5.327864723,Malaysia,2014,5.327864723
258,Malaysia,2013,5.559877838,Malaysia,2013,5.559877838
259,Malaysia,2012,6.606345002,Malaysia,2012,6.606345002
260,Malaysia,2011,5.15651281,Malaysia,2011,5.15651281
261,Malaysia,2010,4.999403114,Malaysia,2010,4.999403114
262,Malaysia,2009,-1.416443792,Malaysia,2009,-1.416443792
263,Malaysia,2008,6.472621301,Malaysia,2008,6.472621301
264,Malaysia,2007,8.066436571,Malaysia,2007,8.066436571
265,Malaysia,2006,4.25407608,Malaysia,2006,4.25407608
266,Malaysia,2005,6.624841265,Malaysia,2005,6.624841265
267,Malaysia,2004,7.274107468,Malaysia,2004,7.274107468
268,Malaysia,2003,5.504673202,Malaysia,2003,5.504673202
269,Malaysia,2002,1.290932955,Malaysia,2002,1.290932955
270,Malaysia,2001,0.413212715,Malaysia,2001,0.413212715
271,Malaysia,2000,10.18860213,Malaysia,2000,10.18860213
272,Malaysia,1999,0.293471204,Malaysia,1999,0.293471204
273,Malaysia,1998,-12.54618579,Malaysia,1998,-12.54618579
274,Malaysia,1997,1.560457404,Malaysia,1997,1.560457404
275,Malaysia,1996,4.012924697,Malaysia,1996,4.012924697
276,Malaysia,1995,8.617634115,Malaysia,1995,8.617634115
277,Malaysia,1994,6.381298403,Malaysia,1994,6.381298403
278,Malaysia,1993,3.333849008,Malaysia,1993,3.333849008
279,Malaysia,1992,1.777049608,Malaysia,1992,1.777049608
280,Malaysia,1991,6.016831351,Malaysia,1991,6.016831351
281,Malaysia,1990,8.713355056,Malaysia,1990,8.713355056
282,Malaysia,1989,10.02275996,Malaysia,1989,10.02275996
283,Malaysia,1988,8.436252717,Malaysia,1988,8.436252717
284,Malaysia,1987,-0.959924617,Malaysia,1987,-0.959924617
285,Malaysia,1986,-12.61583919,Malaysia,1986,-12.61583919
286,Malaysia,1985,-2.457513942,Malaysia,1985,-2.457513942
287,Malaysia,1984,3.598057973,Malaysia,1984,3.598057973
288,Malaysia,1983,0.500569422,Malaysia,1983,0.500569422
289,Malaysia,1982,0.645083952,Malaysia,1982,0.645083952
300,Nigeria,2021,22.63582783,Nigeria,2021,22.63582783
301,Nigeria,2020,-3.371158264,Nigeria,2020,-3.371158264
302,Nigeria,2019,-3.387591829,Nigeria,2019,-3.387591829
303,Nigeria,2018,2.626408405,Nigeria,2018,2.626408405
